KEGG	Compound	Enzyme	Enzyme Name	Gene Name	Entrez
C00004	NADH	7.1.1.2	NADH:ubiquinone reductase (H+-translocating)	NDUFS8	4728
C00004	NADH	7.1.1.2	NADH:ubiquinone reductase (H+-translocating)	NDUFV2	4729
C00005	NADPH	1.1.1.1	alcohol dehydrogenase	ADH1A	124
C00005	NADPH	1.1.1.1	alcohol dehydrogenase	ADH1B	125
C00005	NADPH	1.1.1.1	alcohol dehydrogenase	ADH1C	126
C00005	NADPH	1.1.1.1	alcohol dehydrogenase	ADH4	127
C00005	NADPH	1.1.1.1	alcohol dehydrogenase	ADH5	128
C00005	NADPH	1.1.1.1	alcohol dehydrogenase	ADH6	130
C00005	NADPH	1.1.1.1	alcohol dehydrogenase	ADH7	131
C00005	NADPH	1.1.1.2	alcohol dehydrogenase (NADP+)	AKR1A1	10327
C00005	NADPH	1.1.1.10	L-xylulose reductase	DCXR	51181
C00005	NADPH	1.1.1.21	aldehyde reductase	AKR1B1	231
C00005	NADPH	1.1.1.21	aldehyde reductase	AKR1B10	57016
C00005	NADPH	1.1.1.34	hydroxymethylglutaryl-CoA reductase (NADPH)	HMGCR	3156
C00005	NADPH	1.1.1.40	malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+)	ME3	10873
C00005	NADPH	1.1.1.40	malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+)	ME1	4199
C00005	NADPH	1.1.1.42	isocitrate dehydrogenase (NADP+)	IDH1	3417
C00005	NADPH	1.1.1.42	isocitrate dehydrogenase (NADP+)	IDH2	3418
C00005	NADPH	1.1.1.44	phosphogluconate dehydrogenase (NADP+-dependent, decarboxylating)	PGD	5226
C00005	NADPH	1.1.1.47	glucose 1-dehydrogenase [NAD(P)+]	H6PD	9563
C00005	NADPH	1.1.1.49	glucose-6-phosphate dehydrogenase (NADP+)	G6PD	2539
C00005	NADPH	1.1.1.50	3alpha-hydroxysteroid 3-dehydrogenase (Si-specific)	AKR1C4	1109
C00005	NADPH	1.1.1.51	3(or 17)beta-hydroxysteroid dehydrogenase	AKR1C3	8644
C00005	NADPH	1.1.1.62	17beta-estradiol 17-dehydrogenase	HSD17B1	3292
C00005	NADPH	1.1.1.62	17beta-estradiol 17-dehydrogenase	HSD17B2	3294
C00005	NADPH	1.1.1.62	17beta-estradiol 17-dehydrogenase	HSD17B12	51144
C00005	NADPH	1.1.1.62	17beta-estradiol 17-dehydrogenase	HSD17B7	51478
C00005	NADPH	1.1.1.62	17beta-estradiol 17-dehydrogenase	DHRS11	79154
C00005	NADPH	1.1.1.62	17beta-estradiol 17-dehydrogenase	HSD17B8	7923
C00005	NADPH	1.1.1.62	17beta-estradiol 17-dehydrogenase	HSD17B6	8630
C00005	NADPH	1.1.1.64	testosterone 17beta-dehydrogenase (NADP+)	HSD17B3	3293
C00005	NADPH	1.1.1.79	glyoxylate reductase (NADP+)	GRHPR	9380
C00005	NADPH	1.1.1.81	hydroxypyruvate reductase	GRHPR	9380
C00005	NADPH	1.1.1.102	3-dehydrosphinganine reductase	KDSR	2531
C00005	NADPH	1.1.1.145	3beta-hydroxy-Delta5-steroid dehydrogenase	HSD3B1	3283
C00005	NADPH	1.1.1.145	3beta-hydroxy-Delta5-steroid dehydrogenase	HSD3B2	3284
C00005	NADPH	1.1.1.146	11beta-hydroxysteroid dehydrogenase	HSD11B1	3290
C00005	NADPH	1.1.1.149	20alpha-hydroxysteroid dehydrogenase	AKR1C1	1645
C00005	NADPH	1.1.1.153	sepiapterin reductase (L-erythro-7,8-dihydrobiopterin forming)	SPR	6697
C00005	NADPH	1.1.1.170	3beta-hydroxysteroid-4alpha-carboxylate 3-dehydrogenase (decarboxylating)	NSDHL	50814
C00005	NADPH	1.1.1.179	D-xylose 1-dehydrogenase (NADP+)	DHDH	27294
C00005	NADPH	1.1.1.181	cholest-5-ene-3beta,7alpha-diol 3beta-dehydrogenase	HSD3B7	80270
C00005	NADPH	1.1.1.184	carbonyl reductase (NADPH)	CBR1	873
C00005	NADPH	1.1.1.184	carbonyl reductase (NADPH)	CBR3	874
C00005	NADPH	1.1.1.188	prostaglandin-F synthase	AKR1C3	8644
C00005	NADPH	1.1.1.189	prostaglandin-E2 9-reductase	CBR1	873
C00005	NADPH	1.1.1.197	15-hydroxyprostaglandin dehydrogenase (NADP+)	CBR1	873
C00005	NADPH	1.1.1.213	3alpha-hydroxysteroid 3-dehydrogenase (Re-specific)	AKR1C2	1646
C00005	NADPH	1.1.1.213	3alpha-hydroxysteroid 3-dehydrogenase (Re-specific)	AKR1C3	8644
C00005	NADPH	1.1.1.225	chlordecone reductase	AKR1C4	1109
C00005	NADPH	1.1.1.263	1,5-anhydro-D-fructose reductase	AKR1E2	83592
C00005	NADPH	1.1.1.270	3beta-hydroxysteroid 3-dehydrogenase	HSD17B7	51478
C00005	NADPH	1.1.1.270	3beta-hydroxysteroid 3-dehydrogenase	DHRS11	79154
C00005	NADPH	1.1.1.271	GDP-L-fucose synthase	TSTA3	7264
C00005	NADPH	1.1.1.284	S-(hydroxymethyl)glutathione dehydrogenase	ADH5	128
C00005	NADPH	1.1.1.300	NADP-retinol dehydrogenase	RDH13	112724
C00005	NADPH	1.1.1.300	NADP-retinol dehydrogenase	RDH12	145226
C00005	NADPH	1.1.1.300	NADP-retinol dehydrogenase	RDH11	51109
C00005	NADPH	1.1.1.300	NADP-retinol dehydrogenase	DHRS3	9249
C00005	NADPH	1.1.1.330	very-long-chain 3-oxoacyl-CoA reductase	HSD17B12	51144
C00005	NADPH	1.1.1.357	3alpha-hydroxysteroid 3-dehydrogenase	AKR1C4	1109
C00005	NADPH	1.1.1.357	3alpha-hydroxysteroid 3-dehydrogenase	AKR1C1	1645
C00005	NADPH	1.1.1.357	3alpha-hydroxysteroid 3-dehydrogenase	AKR1C2	1646
C00005	NADPH	1.1.1.357	3alpha-hydroxysteroid 3-dehydrogenase	AKR1C3	8644
C00005	NADPH	1.1.1.363	glucose-6-phosphate dehydrogenase [NAD(P)+]	G6PD	2539
C00005	NADPH	1.2.1.3	aldehyde dehydrogenase (NAD+)	ALDH2	217
C00005	NADPH	1.2.1.3	aldehyde dehydrogenase (NAD+)	ALDH1B1	219
C00005	NADPH	1.2.1.3	aldehyde dehydrogenase (NAD+)	ALDH9A1	223
C00005	NADPH	1.2.1.3	aldehyde dehydrogenase (NAD+)	ALDH3A2	224
C00005	NADPH	1.2.1.3	aldehyde dehydrogenase (NAD+)	ALDH7A1	501
C00005	NADPH	1.2.1.5	aldehyde dehydrogenase [NAD(P)+]	ALDH3A1	218
C00005	NADPH	1.2.1.5	aldehyde dehydrogenase [NAD(P)+]	ALDH1A3	220
C00005	NADPH	1.2.1.5	aldehyde dehydrogenase [NAD(P)+]	ALDH3B1	221
C00005	NADPH	1.2.1.5	aldehyde dehydrogenase [NAD(P)+]	ALDH3B2	222
C00005	NADPH	1.2.1.8	betaine-aldehyde dehydrogenase	ALDH7A1	501
C00005	NADPH	1.2.1.18	malonate-semialdehyde dehydrogenase (acetylating)	ALDH6A1	4329
C00005	NADPH	1.2.1.31	L-aminoadipate-semialdehyde dehydrogenase	ALDH7A1	501
C00005	NADPH	1.2.1.41	glutamate-5-semialdehyde dehydrogenase	ALDH18A1	5832
C00005	NADPH	1.2.1.84	alcohol-forming fatty acyl-CoA reductase	FAR2	55711
C00005	NADPH	1.2.1.84	alcohol-forming fatty acyl-CoA reductase	FAR1	84188
C00005	NADPH	1.2.1.88	L-glutamate gamma-semialdehyde dehydrogenase	ALDH4A1	8659
C00005	NADPH	1.3.1.2	dihydropyrimidine dehydrogenase (NADP+)	DPYD	1806
C00005	NADPH	1.3.1.3	Delta4-3-oxosteroid 5beta-reductase	AKR1D1	6718
C00005	NADPH	1.3.1.20	trans-1,2-dihydrobenzene-1,2-diol dehydrogenase	AKR1C1	1645
C00005	NADPH	1.3.1.20	trans-1,2-dihydrobenzene-1,2-diol dehydrogenase	DHDH	27294
C00005	NADPH	1.3.1.21	7-dehydrocholesterol reductase	DHCR7	1717
C00005	NADPH	1.3.1.22	3-oxo-5alpha-steroid 4-dehydrogenase (NADP+)	SRD5A1	6715
C00005	NADPH	1.3.1.22	3-oxo-5alpha-steroid 4-dehydrogenase (NADP+)	SRD5A2	6716
C00005	NADPH	1.3.1.22	3-oxo-5alpha-steroid 4-dehydrogenase (NADP+)	SRD5A3	79644
C00005	NADPH	1.3.1.24	biliverdin reductase	BLVRA	644
C00005	NADPH	1.3.1.24	biliverdin reductase	BLVRB	645
C00005	NADPH	1.3.1.34	2,4-dienoyl-CoA reductase (NADPH)	DECR1	1666
C00005	NADPH	1.3.1.34	2,4-dienoyl-CoA reductase (NADPH)	DECR2	26063
C00005	NADPH	1.3.1.38	trans-2-enoyl-CoA reductase (NADPH)	MECR	51102
C00005	NADPH	1.3.1.38	trans-2-enoyl-CoA reductase (NADPH)	PECR	55825
C00005	NADPH	1.3.1.48	13,14-dehydro-15-oxoprostaglandin 13-reductase	PTGR2	145482
C00005	NADPH	1.3.1.48	13,14-dehydro-15-oxoprostaglandin 13-reductase	PTGR1	22949
C00005	NADPH	1.3.1.48	13,14-dehydro-15-oxoprostaglandin 13-reductase	ZADH2	284273
C00005	NADPH	1.3.1.70	Delta14-sterol reductase	TM7SF2	7108
C00005	NADPH	1.3.1.72	Delta24-sterol reductase	DHCR24	1718
C00005	NADPH	1.3.1.74	2-alkenal reductase [NAD(P)+]	PTGR1	22949
C00005	NADPH	1.3.1.93	very-long-chain enoyl-CoA reductase	TECR	9524
C00005	NADPH	1.3.1.94	polyprenol reductase	SRD5A3	79644
C00005	NADPH	1.4.1.3	glutamate dehydrogenase [NAD(P)+]	GLUD1	2746
C00005	NADPH	1.4.1.3	glutamate dehydrogenase [NAD(P)+]	GLUD2	2747
C00005	NADPH	1.4.1.21	aspartate dehydrogenase	ASPDH	554235
C00005	NADPH	1.5.1.2	pyrroline-5-carboxylate reductase	PYCR2	29920
C00005	NADPH	1.5.1.2	pyrroline-5-carboxylate reductase	PYCR1	5831
C00005	NADPH	1.5.1.2	pyrroline-5-carboxylate reductase	PYCR3	65263
C00005	NADPH	1.5.1.3	dihydrofolate reductase	DHFR	1719
C00005	NADPH	1.5.1.3	dihydrofolate reductase	DHFR2	200895
C00005	NADPH	1.5.1.5	methylenetetrahydrofolate dehydrogenase (NADP+)	MTHFD1	4522
C00005	NADPH	1.5.1.6	formyltetrahydrofolate dehydrogenase	ALDH1L1	10840
C00005	NADPH	1.5.1.6	formyltetrahydrofolate dehydrogenase	ALDH1L2	160428
C00005	NADPH	1.5.1.8	saccharopine dehydrogenase (NADP+, L-lysine-forming)	AASS	10157
C00005	NADPH	1.5.1.20	methylenetetrahydrofolate reductase [NAD(P)H]	MTHFR	4524
C00005	NADPH	1.5.1.25	thiomorpholine-carboxylate dehydrogenase	CRYM	1428
C00005	NADPH	1.5.1.30	flavin reductase (NADPH)	BLVRB	645
C00005	NADPH	1.5.1.34	6,7-dihydropteridine reductase	QDPR	5860
C00005	NADPH	1.6.1.2	NAD(P)+ transhydrogenase (Re/Si-specific)	NNT	23530
C00005	NADPH	1.6.2.4	NADPH---hemoprotein reductase	POR	5447
C00005	NADPH	1.6.3.1	NAD(P)H oxidase (H2O2-forming)	DUOX2	50506
C00005	NADPH	1.6.3.1	NAD(P)H oxidase (H2O2-forming)	DUOX1	53905
C00005	NADPH	1.6.5.2	NAD(P)H dehydrogenase (quinone)	NQO1	1728
C00005	NADPH	1.6.5.5	NADPH:quinone reductase	CRYZ	1429
C00005	NADPH	1.7.1.7	GMP reductase	GMPR	2766
C00005	NADPH	1.7.1.7	GMP reductase	GMPR2	51292
C00005	NADPH	1.8.1.7	glutathione-disulfide reductase	GSR	2936
C00005	NADPH	1.8.1.8	protein-disulfide reductase	NXNL2	158046
C00005	NADPH	1.8.1.8	protein-disulfide reductase	NXN	64359
C00005	NADPH	1.8.1.9	thioredoxin-disulfide reductase	TXNRD2	10587
C00005	NADPH	1.8.1.9	thioredoxin-disulfide reductase	TXNRD3	114112
C00005	NADPH	1.8.1.9	thioredoxin-disulfide reductase	TXNRD1	7296
C00005	NADPH	1.14.13.8	flavin-containing monooxygenase	FMO1	2326
C00005	NADPH	1.14.13.8	flavin-containing monooxygenase	FMO2	2327
C00005	NADPH	1.14.13.8	flavin-containing monooxygenase	FMO3	2328
C00005	NADPH	1.14.13.8	flavin-containing monooxygenase	FMO4	2329
C00005	NADPH	1.14.13.8	flavin-containing monooxygenase	FMO5	2330
C00005	NADPH	1.14.13.9	kynurenine 3-monooxygenase	KMO	8564
C00005	NADPH	1.14.13.32	albendazole monooxygenase	CYP3A4	1576
C00005	NADPH	1.14.13.39	nitric-oxide synthase (NADPH)	NOS1	4842
C00005	NADPH	1.14.13.39	nitric-oxide synthase (NADPH)	NOS2	4843
C00005	NADPH	1.14.13.39	nitric-oxide synthase (NADPH)	NOS3	4846
C00005	NADPH	1.14.13.225	F-actin monooxygenase	MICAL3	57553
C00005	NADPH	1.14.13.225	F-actin monooxygenase	MICAL1	64780
C00005	NADPH	1.14.13.225	F-actin monooxygenase	MICAL2	9645
C00005	NADPH	1.14.14.1	unspecific monooxygenase	CYP3A7-CYP3A51P	100861540
C00005	NADPH	1.14.14.1	unspecific monooxygenase	NA	107987478
C00005	NADPH	1.14.14.1	unspecific monooxygenase	CYP2D6	107987479
C00005	NADPH	1.14.14.1	unspecific monooxygenase	CYP4F8	11283
C00005	NADPH	1.14.14.1	unspecific monooxygenase	CYP1A1	1543
C00005	NADPH	1.14.14.1	unspecific monooxygenase	CYP1A2	1544
C00005	NADPH	1.14.14.1	unspecific monooxygenase	CYP1B1	1545
C00005	NADPH	1.14.14.1	unspecific monooxygenase	CYP2A7	1549
C00005	NADPH	1.14.14.1	unspecific monooxygenase	CYP3A7	1551
C00005	NADPH	1.14.14.1	unspecific monooxygenase	CYP2A13	1553
C00005	NADPH	1.14.14.1	unspecific monooxygenase	CYP2C8	1558
C00005	NADPH	1.14.14.1	unspecific monooxygenase	CYP2C18	1562
C00005	NADPH	1.14.14.1	unspecific monooxygenase	CYP2D7	1564
C00005	NADPH	1.14.14.1	unspecific monooxygenase	CYP2D6	1565
C00005	NADPH	1.14.14.1	unspecific monooxygenase	CYP2F1	1572
C00005	NADPH	1.14.14.1	unspecific monooxygenase	CYP2J2	1573
C00005	NADPH	1.14.14.1	unspecific monooxygenase	CYP3A5	1577
C00005	NADPH	1.14.14.1	unspecific monooxygenase	CYP4B1	1580
C00005	NADPH	1.14.14.1	unspecific monooxygenase	CYP4Z1	199974
C00005	NADPH	1.14.14.1	unspecific monooxygenase	CYP4X1	260293
C00005	NADPH	1.14.14.1	unspecific monooxygenase	CYP2S1	29785
C00005	NADPH	1.14.14.1	unspecific monooxygenase	CYP4F11	57834
C00005	NADPH	1.14.14.1	unspecific monooxygenase	CYP3A43	64816
C00005	NADPH	1.14.14.1	unspecific monooxygenase	CYP4F12	66002
C00005	NADPH	1.14.14.29	25/26-hydroxycholesterol 7alpha-hydroxylase	CYP7B1	9420
C00005	NADPH	1.14.18.9	4alpha-methylsterol monooxygenase	MSMO1	6307
C00005	NADPH	1.16.1.6	cyanocobalamin reductase (cyanide-eliminating)	MMACHC	25974
C00005	NADPH	1.16.1.8	[methionine synthase] reductase	MTRR	4552
C00005	NADPH	1.18.1.6	adrenodoxin-NADP+ reductase	FDXR	2232
C00005	NADPH	1.21.1.1	iodotyrosine deiodinase	IYD	389434
C00005	NADPH	2.3.1.85	fatty-acid synthase system	FASN	2194
C00005	NADPH	2.5.1.21	squalene synthase	FDFT1	2222
C00005	NADPH	4.2.1.93	ATP-dependent NAD(P)H-hydrate dehydratase	NAXD	55739
C00005	NADPH	5.3.3.1	steroid Delta-isomerase	HSD3B1	3283
C00005	NADPH	5.3.3.1	steroid Delta-isomerase	HSD3B2	3284
C00006	NADP+	1.1.1.1	alcohol dehydrogenase	ADH1A	124
C00006	NADP+	1.1.1.1	alcohol dehydrogenase	ADH1B	125
C00006	NADP+	1.1.1.1	alcohol dehydrogenase	ADH1C	126
C00006	NADP+	1.1.1.1	alcohol dehydrogenase	ADH4	127
C00006	NADP+	1.1.1.1	alcohol dehydrogenase	ADH5	128
C00006	NADP+	1.1.1.1	alcohol dehydrogenase	ADH6	130
C00006	NADP+	1.1.1.1	alcohol dehydrogenase	ADH7	131
C00006	NADP+	1.1.1.2	alcohol dehydrogenase (NADP+)	AKR1A1	10327
C00006	NADP+	1.1.1.10	L-xylulose reductase	DCXR	51181
C00006	NADP+	1.1.1.21	aldehyde reductase	AKR1B1	231
C00006	NADP+	1.1.1.21	aldehyde reductase	AKR1B10	57016
C00006	NADP+	1.1.1.34	hydroxymethylglutaryl-CoA reductase (NADPH)	HMGCR	3156
C00006	NADP+	1.1.1.40	malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+)	ME3	10873
C00006	NADP+	1.1.1.40	malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+)	ME1	4199
C00006	NADP+	1.1.1.42	isocitrate dehydrogenase (NADP+)	IDH1	3417
C00006	NADP+	1.1.1.42	isocitrate dehydrogenase (NADP+)	IDH2	3418
C00006	NADP+	1.1.1.44	phosphogluconate dehydrogenase (NADP+-dependent, decarboxylating)	PGD	5226
C00006	NADP+	1.1.1.47	glucose 1-dehydrogenase [NAD(P)+]	H6PD	9563
C00006	NADP+	1.1.1.49	glucose-6-phosphate dehydrogenase (NADP+)	G6PD	2539
C00006	NADP+	1.1.1.50	3alpha-hydroxysteroid 3-dehydrogenase (Si-specific)	AKR1C4	1109
C00006	NADP+	1.1.1.51	3(or 17)beta-hydroxysteroid dehydrogenase	AKR1C3	8644
C00006	NADP+	1.1.1.62	17beta-estradiol 17-dehydrogenase	HSD17B1	3292
C00006	NADP+	1.1.1.62	17beta-estradiol 17-dehydrogenase	HSD17B2	3294
C00006	NADP+	1.1.1.62	17beta-estradiol 17-dehydrogenase	HSD17B12	51144
C00006	NADP+	1.1.1.62	17beta-estradiol 17-dehydrogenase	HSD17B7	51478
C00006	NADP+	1.1.1.62	17beta-estradiol 17-dehydrogenase	DHRS11	79154
C00006	NADP+	1.1.1.62	17beta-estradiol 17-dehydrogenase	HSD17B8	7923
C00006	NADP+	1.1.1.62	17beta-estradiol 17-dehydrogenase	HSD17B6	8630
C00006	NADP+	1.1.1.64	testosterone 17beta-dehydrogenase (NADP+)	HSD17B3	3293
C00006	NADP+	1.1.1.79	glyoxylate reductase (NADP+)	GRHPR	9380
C00006	NADP+	1.1.1.81	hydroxypyruvate reductase	GRHPR	9380
C00006	NADP+	1.1.1.102	3-dehydrosphinganine reductase	KDSR	2531
C00006	NADP+	1.1.1.145	3beta-hydroxy-Delta5-steroid dehydrogenase	HSD3B1	3283
C00006	NADP+	1.1.1.145	3beta-hydroxy-Delta5-steroid dehydrogenase	HSD3B2	3284
C00006	NADP+	1.1.1.146	11beta-hydroxysteroid dehydrogenase	HSD11B1	3290
C00006	NADP+	1.1.1.149	20alpha-hydroxysteroid dehydrogenase	AKR1C1	1645
C00006	NADP+	1.1.1.153	sepiapterin reductase (L-erythro-7,8-dihydrobiopterin forming)	SPR	6697
C00006	NADP+	1.1.1.170	3beta-hydroxysteroid-4alpha-carboxylate 3-dehydrogenase (decarboxylating)	NSDHL	50814
C00006	NADP+	1.1.1.179	D-xylose 1-dehydrogenase (NADP+)	DHDH	27294
C00006	NADP+	1.1.1.181	cholest-5-ene-3beta,7alpha-diol 3beta-dehydrogenase	HSD3B7	80270
C00006	NADP+	1.1.1.184	carbonyl reductase (NADPH)	CBR1	873
C00006	NADP+	1.1.1.184	carbonyl reductase (NADPH)	CBR3	874
C00006	NADP+	1.1.1.188	prostaglandin-F synthase	AKR1C3	8644
C00006	NADP+	1.1.1.189	prostaglandin-E2 9-reductase	CBR1	873
C00006	NADP+	1.1.1.197	15-hydroxyprostaglandin dehydrogenase (NADP+)	CBR1	873
C00006	NADP+	1.1.1.213	3alpha-hydroxysteroid 3-dehydrogenase (Re-specific)	AKR1C2	1646
C00006	NADP+	1.1.1.213	3alpha-hydroxysteroid 3-dehydrogenase (Re-specific)	AKR1C3	8644
C00006	NADP+	1.1.1.225	chlordecone reductase	AKR1C4	1109
C00006	NADP+	1.1.1.263	1,5-anhydro-D-fructose reductase	AKR1E2	83592
C00006	NADP+	1.1.1.270	3beta-hydroxysteroid 3-dehydrogenase	HSD17B7	51478
C00006	NADP+	1.1.1.270	3beta-hydroxysteroid 3-dehydrogenase	DHRS11	79154
C00006	NADP+	1.1.1.271	GDP-L-fucose synthase	TSTA3	7264
C00006	NADP+	1.1.1.284	S-(hydroxymethyl)glutathione dehydrogenase	ADH5	128
C00006	NADP+	1.1.1.300	NADP-retinol dehydrogenase	RDH13	112724
C00006	NADP+	1.1.1.300	NADP-retinol dehydrogenase	RDH12	145226
C00006	NADP+	1.1.1.300	NADP-retinol dehydrogenase	RDH11	51109
C00006	NADP+	1.1.1.300	NADP-retinol dehydrogenase	DHRS3	9249
C00006	NADP+	1.1.1.330	very-long-chain 3-oxoacyl-CoA reductase	HSD17B12	51144
C00006	NADP+	1.1.1.357	3alpha-hydroxysteroid 3-dehydrogenase	AKR1C4	1109
C00006	NADP+	1.1.1.357	3alpha-hydroxysteroid 3-dehydrogenase	AKR1C1	1645
C00006	NADP+	1.1.1.357	3alpha-hydroxysteroid 3-dehydrogenase	AKR1C2	1646
C00006	NADP+	1.1.1.357	3alpha-hydroxysteroid 3-dehydrogenase	AKR1C3	8644
C00006	NADP+	1.1.1.363	glucose-6-phosphate dehydrogenase [NAD(P)+]	G6PD	2539
C00006	NADP+	1.2.1.3	aldehyde dehydrogenase (NAD+)	ALDH2	217
C00006	NADP+	1.2.1.3	aldehyde dehydrogenase (NAD+)	ALDH1B1	219
C00006	NADP+	1.2.1.3	aldehyde dehydrogenase (NAD+)	ALDH9A1	223
C00006	NADP+	1.2.1.3	aldehyde dehydrogenase (NAD+)	ALDH3A2	224
C00006	NADP+	1.2.1.3	aldehyde dehydrogenase (NAD+)	ALDH7A1	501
C00006	NADP+	1.2.1.5	aldehyde dehydrogenase [NAD(P)+]	ALDH3A1	218
C00006	NADP+	1.2.1.5	aldehyde dehydrogenase [NAD(P)+]	ALDH1A3	220
C00006	NADP+	1.2.1.5	aldehyde dehydrogenase [NAD(P)+]	ALDH3B1	221
C00006	NADP+	1.2.1.5	aldehyde dehydrogenase [NAD(P)+]	ALDH3B2	222
C00006	NADP+	1.2.1.8	betaine-aldehyde dehydrogenase	ALDH7A1	501
C00006	NADP+	1.2.1.18	malonate-semialdehyde dehydrogenase (acetylating)	ALDH6A1	4329
C00006	NADP+	1.2.1.31	L-aminoadipate-semialdehyde dehydrogenase	ALDH7A1	501
C00006	NADP+	1.2.1.41	glutamate-5-semialdehyde dehydrogenase	ALDH18A1	5832
C00006	NADP+	1.2.1.84	alcohol-forming fatty acyl-CoA reductase	FAR2	55711
C00006	NADP+	1.2.1.84	alcohol-forming fatty acyl-CoA reductase	FAR1	84188
C00006	NADP+	1.2.1.88	L-glutamate gamma-semialdehyde dehydrogenase	ALDH4A1	8659
C00006	NADP+	1.3.1.2	dihydropyrimidine dehydrogenase (NADP+)	DPYD	1806
C00006	NADP+	1.3.1.3	Delta4-3-oxosteroid 5beta-reductase	AKR1D1	6718
C00006	NADP+	1.3.1.20	trans-1,2-dihydrobenzene-1,2-diol dehydrogenase	AKR1C1	1645
C00006	NADP+	1.3.1.20	trans-1,2-dihydrobenzene-1,2-diol dehydrogenase	DHDH	27294
C00006	NADP+	1.3.1.21	7-dehydrocholesterol reductase	DHCR7	1717
C00006	NADP+	1.3.1.22	3-oxo-5alpha-steroid 4-dehydrogenase (NADP+)	SRD5A1	6715
C00006	NADP+	1.3.1.22	3-oxo-5alpha-steroid 4-dehydrogenase (NADP+)	SRD5A2	6716
C00006	NADP+	1.3.1.22	3-oxo-5alpha-steroid 4-dehydrogenase (NADP+)	SRD5A3	79644
C00006	NADP+	1.3.1.24	biliverdin reductase	BLVRA	644
C00006	NADP+	1.3.1.24	biliverdin reductase	BLVRB	645
C00006	NADP+	1.3.1.34	2,4-dienoyl-CoA reductase (NADPH)	DECR1	1666
C00006	NADP+	1.3.1.34	2,4-dienoyl-CoA reductase (NADPH)	DECR2	26063
C00006	NADP+	1.3.1.38	trans-2-enoyl-CoA reductase (NADPH)	MECR	51102
C00006	NADP+	1.3.1.38	trans-2-enoyl-CoA reductase (NADPH)	PECR	55825
C00006	NADP+	1.3.1.48	13,14-dehydro-15-oxoprostaglandin 13-reductase	PTGR2	145482
C00006	NADP+	1.3.1.48	13,14-dehydro-15-oxoprostaglandin 13-reductase	PTGR1	22949
C00006	NADP+	1.3.1.48	13,14-dehydro-15-oxoprostaglandin 13-reductase	ZADH2	284273
C00006	NADP+	1.3.1.70	Delta14-sterol reductase	TM7SF2	7108
C00006	NADP+	1.3.1.72	Delta24-sterol reductase	DHCR24	1718
C00006	NADP+	1.3.1.74	2-alkenal reductase [NAD(P)+]	PTGR1	22949
C00006	NADP+	1.3.1.93	very-long-chain enoyl-CoA reductase	TECR	9524
C00006	NADP+	1.3.1.94	polyprenol reductase	SRD5A3	79644
C00006	NADP+	1.4.1.3	glutamate dehydrogenase [NAD(P)+]	GLUD1	2746
C00006	NADP+	1.4.1.3	glutamate dehydrogenase [NAD(P)+]	GLUD2	2747
C00006	NADP+	1.4.1.21	aspartate dehydrogenase	ASPDH	554235
C00006	NADP+	1.5.1.2	pyrroline-5-carboxylate reductase	PYCR2	29920
C00006	NADP+	1.5.1.2	pyrroline-5-carboxylate reductase	PYCR1	5831
C00006	NADP+	1.5.1.2	pyrroline-5-carboxylate reductase	PYCR3	65263
C00006	NADP+	1.5.1.3	dihydrofolate reductase	DHFR	1719
C00006	NADP+	1.5.1.3	dihydrofolate reductase	DHFR2	200895
C00006	NADP+	1.5.1.5	methylenetetrahydrofolate dehydrogenase (NADP+)	MTHFD1	4522
C00006	NADP+	1.5.1.6	formyltetrahydrofolate dehydrogenase	ALDH1L1	10840
C00006	NADP+	1.5.1.6	formyltetrahydrofolate dehydrogenase	ALDH1L2	160428
C00006	NADP+	1.5.1.8	saccharopine dehydrogenase (NADP+, L-lysine-forming)	AASS	10157
C00006	NADP+	1.5.1.20	methylenetetrahydrofolate reductase [NAD(P)H]	MTHFR	4524
C00006	NADP+	1.5.1.25	thiomorpholine-carboxylate dehydrogenase	CRYM	1428
C00006	NADP+	1.5.1.30	flavin reductase (NADPH)	BLVRB	645
C00006	NADP+	1.5.1.34	6,7-dihydropteridine reductase	QDPR	5860
C00006	NADP+	1.6.1.2	NAD(P)+ transhydrogenase (Re/Si-specific)	NNT	23530
C00006	NADP+	1.6.2.4	NADPH---hemoprotein reductase	POR	5447
C00006	NADP+	1.6.3.1	NAD(P)H oxidase (H2O2-forming)	DUOX2	50506
C00006	NADP+	1.6.3.1	NAD(P)H oxidase (H2O2-forming)	DUOX1	53905
C00006	NADP+	1.6.3.5	renalase	RNLS	55328
C00006	NADP+	1.6.5.2	NAD(P)H dehydrogenase (quinone)	NQO1	1728
C00006	NADP+	1.6.5.5	NADPH:quinone reductase	CRYZ	1429
C00006	NADP+	1.7.1.7	GMP reductase	GMPR	2766
C00006	NADP+	1.7.1.7	GMP reductase	GMPR2	51292
C00006	NADP+	1.8.1.7	glutathione-disulfide reductase	GSR	2936
C00006	NADP+	1.8.1.8	protein-disulfide reductase	NXNL2	158046
C00006	NADP+	1.8.1.8	protein-disulfide reductase	NXN	64359
C00006	NADP+	1.8.1.9	thioredoxin-disulfide reductase	TXNRD2	10587
C00006	NADP+	1.8.1.9	thioredoxin-disulfide reductase	TXNRD3	114112
